show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_value,duration_unit,date_added_parsed,year_added,month_added,country_list,listed_in_list,cast_list,gold_rating,pred_rating_global_mode,pred_rating_type_mode
1067876,Movie,True Grit,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey",United States,"January 1, 2020",1969,,128 min,"Classic Movies, Dramas",Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.,128,min,2020-01-01,2020.0,1.0,['United States'],"['Classic Movies', 'Dramas']","['John Wayne', 'Glen Campbell', 'Kim Darby', 'Jeremy Slate', 'Robert Duvall', 'Dennis Hopper', 'Alfred Ryder', 'Strother Martin', 'Jeff Corey']",G,TV-MA,TV-MA
70044693,Movie,World Trade Center,Oliver Stone,"Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello, Stephen Dorff, Jay Hernandez, Michael Shannon, Frank Whaley, Jon Bernthal, Morgan Flynn, Nick Damici, Viola Davis, William Mapother",United States,"November 20, 2019",2006,,129 min,"Action & Adventure, Dramas","Working under treacherous conditions, an army of dedicated rescuers struggles to find anyone who survived the World Trade Center's tragic collapse.",129,min,2019-11-20,2019.0,11.0,['United States'],"['Action & Adventure', 'Dramas']","['Nicolas Cage', 'Michael Peña', 'Maggie Gyllenhaal', 'Maria Bello', 'Stephen Dorff', 'Jay Hernandez', 'Michael Shannon', 'Frank Whaley', 'Jon Bernthal', 'Morgan Flynn', 'Nick Damici', 'Viola Davis', 'William Mapother']",PG-13,TV-MA,TV-MA
81047445,Movie,"Abdullah, The Final Witness",Hashim Nadeem Khan,"Sajid Hasan, Hameed Sheikh, Habibullah Panezai, Imraan Abbas, Sadia, Imran Tareen, Asal Deen, Yameen Shah",Pakistan,"January 15, 2019",2016,,88 min,"Dramas, International Movies","Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",88,min,2019-01-15,2019.0,1.0,['Pakistan'],"['Dramas', 'International Movies']","['Sajid Hasan', 'Hameed Sheikh', 'Habibullah Panezai', 'Imraan Abbas', 'Sadia', 'Imran Tareen', 'Asal Deen', 'Yameen Shah']",TV-14,TV-MA,TV-MA
81014293,TV Show,Nuestra Lucha Libre,,,,"August 15, 2018",2018,,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more.",1,Season,2018-08-15,2018.0,8.0,[],"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']",[],TV-MA,TV-MA,TV-MA
81035868,Movie,An Upper Egyptian,"Ismail Farouk, Hazem Fouda","Mohamed Ramadan, Randa El Behery, Nermin Maher, Inas El Naggar, Mayar El Gheity, Hassan Abdulfattah, Sabri Abdulmonem, Alaa Zenhom, Abdalah Mishrif, Mohamed Soliman",,"June 20, 2019",2014,,85 min,"Comedies, Dramas, International Movies","Eager to settle down, Abdullah searches for the right woman to marry – but the one he truly longs for may not feel the same way.",85,min,2019-06-20,2019.0,6.0,[],"['Comedies', 'Dramas', 'International Movies']","['Mohamed Ramadan', 'Randa El Behery', 'Nermin Maher', 'Inas El Naggar', 'Mayar El Gheity', 'Hassan Abdulfattah', 'Sabri Abdulmonem', 'Alaa Zenhom', 'Abdalah Mishrif', 'Mohamed Soliman']",TV-MA,TV-MA,TV-MA
80240816,TV Show,Inside The Freemasons,,,United Kingdom,"September 15, 2018",2017,,1 Season,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.",1,Season,2018-09-15,2018.0,9.0,['United Kingdom'],"['British TV Shows', 'Docuseries', 'International TV Shows']",[],TV-14,TV-MA,TV-MA
80220655,TV Show,Stay Tuned!,,"Kyoko Yoshine, Hiroki Iijima, Kanako Miyashita, Yo Oizumi, Ken Yasuda",Japan,"March 21, 2019",2019,,1 Season,"International TV Shows, TV Comedies, TV Dramas","She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.",1,Season,2019-03-21,2019.0,3.0,['Japan'],"['International TV Shows', 'TV Comedies', 'TV Dramas']","['Kyoko Yoshine', 'Hiroki Iijima', 'Kanako Miyashita', 'Yo Oizumi', 'Ken Yasuda']",TV-14,TV-MA,TV-MA
80145085,Movie,The Rat Race,Miriam Chandy Menacherry,,India,"January 1, 2017",2010,,52 min,"Documentaries, International Movies","Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population.",52,min,2017-01-01,2017.0,1.0,['India'],"['Documentaries', 'International Movies']",[],TV-PG,TV-MA,TV-MA
80226279,TV Show,Becoming Champions,,,Mexico,"August 1, 2018",2018,,1 Season,"Docuseries, International TV Shows",This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.,1,Season,2018-08-01,2018.0,8.0,['Mexico'],"['Docuseries', 'International TV Shows']",[],TV-G,TV-MA,TV-MA
80177834,Movie,The Guardian Brothers,Gary Wang,"Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep",China,"September 1, 2017",2016,,86 min,"Children & Family Movies, Comedies","When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them.",86,min,2017-09-01,2017.0,9.0,['China'],"['Children & Family Movies', 'Comedies']","['Edward Norton', 'Dan Fogler', 'Mike Birbiglia', 'Bella Thorne', 'Randall Park', 'Mel Brooks', 'Nicole Kidman', 'Meryl Streep']",TV-Y7-FV,TV-MA,TV-MA
70064205,Movie,Anwar,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,"December 31, 2019",2007,,134 min,"Dramas, Independent Movies, International Movies","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy.",134,min,2019-12-31,2019.0,12.0,['India'],"['Dramas', 'Independent Movies', 'International Movies']","['Siddharth Koirala', 'Nauheed Cyrusi', 'Manisha Koirala', 'Rajpal Yadav', 'Yashpal Sharma', 'Vijay Raaz', 'Hiten Tejwani', 'Sudhir Pandey', 'Sanjay Mishra', 'Lalit Tiwari']",TV-14,TV-MA,TV-MA
81017316,TV Show,Prank Encounters,,Gaten Matarazzo,United States,"October 25, 2019",2019,,1 Season,"Reality TV, TV Comedies, TV Horror",Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,1,Season,2019-10-25,2019.0,10.0,['United States'],"['Reality TV', 'TV Comedies', 'TV Horror']",['Gaten Matarazzo'],TV-MA,TV-MA,TV-MA
80206057,Movie,You Can’t Fight Christmas,Kenny Young,"Brely Evans, Andra Fuller, Persia White, Porscha Coleman, Travis Winfrey, Nathan Davis Jr., Dedrick Bonner, Matthew Jones, Larry Poindexter, Richard Gant, Marla Gibbs",United States,"December 19, 2017",2017,,85 min,"Comedies, Romantic Movies","After stepping in to revitalize his family's hotel, a money-minded businessman clashes with the hotel's cheery, Christmas-loving decorator.",85,min,2017-12-19,2017.0,12.0,['United States'],"['Comedies', 'Romantic Movies']","['Brely Evans', 'Andra Fuller', 'Persia White', 'Porscha Coleman', 'Travis Winfrey', 'Nathan Davis Jr.', 'Dedrick Bonner', 'Matthew Jones', 'Larry Poindexter', 'Richard Gant', 'Marla Gibbs']",TV-PG,TV-MA,TV-MA
80104198,TV Show,Lost in Space,,"Molly Parker, Toby Stephens, Max Jenkins, Taylor Russell, Mina Sundwall, Parker Posey, Ignacio Serricchio",United States,"April 13, 2018",2018,,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",1,Season,2018-04-13,2018.0,4.0,['United States'],"['TV Action & Adventure', 'TV Dramas', 'TV Sci-Fi & Fantasy']","['Molly Parker', 'Toby Stephens', 'Max Jenkins', 'Taylor Russell', 'Mina Sundwall', 'Parker Posey', 'Ignacio Serricchio']",TV-PG,TV-MA,TV-MA
81208888,TV Show,Once Upon A Time In Lingjian Mountain,,"Xu Kai, Sandrine Pinna, Ryan Zhu, Gao Yuer, Cristy Guo, He Wenjun, Zheng Yawen, Li Junhao, Roger Kwok, James Wen",China,"November 23, 2019",2019,,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy","As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage.",1,Season,2019-11-23,2019.0,11.0,['China'],"['International TV Shows', 'TV Comedies', 'TV Sci-Fi & Fantasy']","['Xu Kai', 'Sandrine Pinna', 'Ryan Zhu', 'Gao Yuer', 'Cristy Guo', 'He Wenjun', 'Zheng Yawen', 'Li Junhao', 'Roger Kwok', 'James Wen']",TV-PG,TV-MA,TV-MA
80219019,Movie,Poster Boys,Shreyas Talpade,"Sunny Deol, Bobby Deol, Shreyas Talpade, Sonali Kulkarni, Tripti Dimri, Samiksha Bhatnagar, Lovely Singh, Purnima Varma",India,"November 27, 2017",2017,,128 min,"Comedies, International Movies","Three men are stunned to find their faces on a poster promoting vasectomies, and must prove to their upset loved ones that they're innocent victims.",128,min,2017-11-27,2017.0,11.0,['India'],"['Comedies', 'International Movies']","['Sunny Deol', 'Bobby Deol', 'Shreyas Talpade', 'Sonali Kulkarni', 'Tripti Dimri', 'Samiksha Bhatnagar', 'Lovely Singh', 'Purnima Varma']",PG-13,TV-MA,TV-MA
80236906,Movie,Judwaa 2,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Tapsee Pannu, Rajpal Yadav, Sachin Khedekar, Anupam Kher, Zakir Hussain, Pavan Malhotra",India,"March 1, 2018",2017,,145 min,"Action & Adventure, Comedies, International Movies","Separated at birth, twins Raja and Prem couldn't be more different. But when fate puts them both in London, they start being mistaken for each other.",145,min,2018-03-01,2018.0,3.0,['India'],"['Action & Adventure', 'Comedies', 'International Movies']","['Varun Dhawan', 'Jacqueline Fernandez', 'Tapsee Pannu', 'Rajpal Yadav', 'Sachin Khedekar', 'Anupam Kher', 'Zakir Hussain', 'Pavan Malhotra']",TV-14,TV-MA,TV-MA
80214579,Movie,The Rift: The Dark Side of the Moon,Dejan Zečević,"Ken Foree, Katarina Čas, Dragan Mićanović, Monte Markham, Denis Murić, Miroljub Lešo, Sonja Vukićević, Ratko Turčinović, Mick Garris","Serbia, South Korea, Slovenia","February 26, 2018",2016,,92 min,"Horror Movies, Independent Movies, Sci-Fi & Fantasy","When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn.",92,min,2018-02-26,2018.0,2.0,"['Serbia', 'South Korea', 'Slovenia']","['Horror Movies', 'Independent Movies', 'Sci-Fi & Fantasy']","['Ken Foree', 'Katarina Čas', 'Dragan Mićanović', 'Monte Markham', 'Denis Murić', 'Miroljub Lešo', 'Sonja Vukićević', 'Ratko Turčinović', 'Mick Garris']",TV-MA,TV-MA,TV-MA
80194813,TV Show,We Speak Dance,,Vandana Hart,United States,"January 1, 2018",2018,,1 Season,Docuseries,Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.,1,Season,2018-01-01,2018.0,1.0,['United States'],['Docuseries'],['Vandana Hart'],TV-14,TV-MA,TV-MA
