show_id,title,description,baseline_json,llm_json,is_json_parseable,field_completeness_score_1_to_5,semantic_quality_score_1_to_5
80152447,Cézanne et moi,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.","{""main_theme"": ""family/growth"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80221550,Archibald's Next Big Thing,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!","{""main_theme"": ""adventure/fantasy"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
81154455,Article 15,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
81113928,Care of Kancharapalem,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.","{""main_theme"": ""love/relationship"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
81052275,Ee Nagaraniki Emaindi,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.","{""main_theme"": ""other"", ""target_audience"": ""family/teen"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
81132437,Kill Me If You Dare,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80178151,The Spy,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80058026,Hell and Back,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70303496,PK,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80162141,Hard Tide,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": [""violence/crime""]}",,,,
80095641,Elstree 1976,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""dark"", ""risk_tags"": [""violence/crime""]}",,,,
81176188,American Factory: A Conversation with the Obamas,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,"{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80159880,ATM,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
81016044,Bangkok Traffic (Love) Story,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.","{""main_theme"": ""love/relationship"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
80158838,I Fine... Thank You... Love You,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
81016045,One Day,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
70142798,Phobia 2,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.","{""main_theme"": ""other"", ""target_audience"": ""general"", ""mood"": ""neutral"", ""risk_tags"": []}",,,,
